ability_id,dname,behavior,desc
5057,morphling_replicate,['Unit Target'],"Morphling changes his form to match the targeted enemy, gaining their basic abilities. Can be toggled for the duration of the ability. 

DISPEL TYPE: Basic Dispel"
5058,morphling_morph_replicate,"['No Target', 'Hidden', 'Instant Cast']","Morphling switches into his replication, instantly taking its position."
5674,morphling_hybrid,"['Unit Target', 'Hidden']","Morphling creates a hybrid replication of a target allied hero, which can cast all of that hero's current, non-ultimate abilities. Enemies are able to see which unit is a hybrid."
5059,nevermore_shadowraze1,['No Target'],"Shadow Fiend razes the ground directly in front of him, dealing damage to enemy units in the area. Adds a stacking damage amplifier on the target that causes the enemy to take bonus Shadow Raze damage per stack."
5060,nevermore_shadowraze2,['No Target'],"Shadow Fiend razes the ground a short distance away from him, dealing damage to enemy units in the area. Adds a stacking damage amplifier on the target that causes the enemy to take bonus Shadow Raze damage per stack."
5061,nevermore_shadowraze3,['No Target'],"Shadow Fiend razes the ground a longer distance away from him, dealing damage to enemy units in the area. Adds a stacking damage amplifier on the target that causes the enemy to take bonus Shadow Raze damage per stack."
5062,nevermore_necromastery,['Passive'],"Shadow Fiend steals the soul from units he kills, gaining bonus damage. If the killed unit is a hero, he gains 12 souls.  On death, he releases half of them from bondage.

Upgradable by Aghanim's Scepter."
5063,nevermore_dark_lord,"['Passive', None]",Shadow Fiend's presence reduces the armor of nearby enemies.
5064,nevermore_requiem,"['No Target', None]","Shadow Fiend gathers his captured souls to release them as lines of demonic energy. Units near Shadow Fiend when the souls are released can be damaged by several lines of energy. Any unit damaged by Requiem of Souls will have its movement speed and attack damage reduced. Lines of energy are created for every 2 souls captured through Necromastery. Requiem of Souls is automatically cast whenever Shadow Fiend dies, regardless of its cooldown.

Upgradable by Aghanim's Scepter."
5065,phantom_lancer_spirit_lance,['Unit Target'],"Sends a magical spirit lance to a target enemy unit that damages and slows, while summoning an illusory phantom to attack the unit.

Upgradable by Aghanim's Scepter."
5066,phantom_lancer_doppelwalk,"['Point Target', 'AOE']","Phantom Lancer briefly vanishes from the battlefield. After 1 second, Phantom Lancer and any of his nearby illusions reappear at a random position within the targeted location, along with two additional doppelgangers. Extends duration of all illusions. The two added doppelgangers have different properties: one takes normal damage and deals none, while the other takes 600% damage and deals 20% damage.

DISPEL TYPE: Basic Dispel"
5067,phantom_lancer_juxtapose,['Passive'],"Phantom Lancer has a chance to fracture his presence, creating an illusion of himself. Illusions also have a chance to fracture further. Illusions created from Phantom Lancer last for 8 seconds, while illusions created from other illusions last 4 seconds."
5068,phantom_lancer_phantom_edge,"['Instant Cast', 'No Target']","When targetting an enemy for an attack, Phantom Lancer quickly charges into range, gaining a temporary agility boost upon reaching the target. Phantom Lancer's illusions also have this ability."
5069,puck_illusory_orb,['Point Target'],"Puck launches a magic orb that floats in a straight path, damaging enemy units along the way. At any point, Puck may teleport to the orb's location using Ethereal Jaunt."
5070,puck_ethereal_jaunt,"['No Target', None]",Teleports Puck to a flying Illusory Orb.
5071,puck_waning_rift,['No Target'],Puck releases a burst of faerie dust that deals damage and silences enemy units nearby.
5072,puck_phase_shift,"['No Target', 'Channeled']",Puck briefly shifts into another dimension where it is immune from harm.
5073,puck_dream_coil,"['AOE', 'Point Target']","Creates a coil of volatile magic that latches onto enemy Heroes, stunning them for 0.5 seconds and damaging them.  If the enemy hero stretches the coil by moving too far away, it snaps, stunning and dealing additional damage.

Upgradable by Aghanim's Scepter."
5074,pudge_flesh_heap,['Passive'],"Gives Pudge increased health regeneration, as well as bonus strength that increases each time Pudge kills an enemy Hero or it dies in his vicinity.  Flesh Heap is retroactive, meaning it can gain charges before it is skilled, which then become active."
5075,pudge_meat_hook,['Point Target'],"Launches a bloody hook toward a unit or location. The hook will snag the first unit it encounters, dragging the unit back to Pudge and dealing damage if it is an enemy.

Upgradable by Aghanim's Scepter."
5076,pudge_rot,"['No Target', None]",A toxic cloud that deals intense damage and slows movement--harming not only enemy units but Pudge himself.
5077,pudge_dismember,"['Unit Target', 'Channeled']","CHANNELED - Pudge chows down on an enemy unit, disabling it and dealing damage over time. Pudge gets healed for the same amount he damages. Lasts 3 seconds on Heroes, 6 seconds on creeps."
5078,shadow_shaman_ether_shock,['Unit Target'],Creates a cone of ethereal energy that strikes multiple enemy units.
5079,shadow_shaman_voodoo,['Unit Target'],"Transforms an enemy unit into a harmless creature, disabling their attacks and abilities."
5080,shadow_shaman_shackles,"['Unit Target', 'Channeled']","CHANNELED - Magically binds an enemy unit so that it cannot move or attack, while dealing damage over time."
5081,shadow_shaman_mass_serpent_ward,"['Point Target', 'AOE']","Summons 10 Serpent Wards to attack enemy units and structures. The Wards are immune to magic. It takes two hits to destroy a single Ward.

Upgradable by Aghanim's Scepter."
5082,razor_plasma_field,"['No Target', 'Instant Cast']","Releases a wave of energetic plasma that grows in power as it expands, but also zaps on contraction, slowing and dealing damage to enemy units caught in its path. Damage and slow increases with distance from Razor. The Plasma Field hits each unit twice, once each direction."
5083,razor_static_link,['Unit Target'],"Creates a charged link between Razor and an enemy Hero, stealing damage from the target and giving it to Razor."
5084,razor_unstable_current,['Passive'],Passively increases your movement speed and occasionally hits every unit in the area for some damage.
5085,razor_eye_of_the_storm,"['No Target', 'Instant Cast']","A powerful lightning storm strikes out at enemy units with the lowest health, dealing damage and reducing their armor. 

Upgradable by Aghanim's Scepter."
5086,skeleton_king_hellfire_blast,['Unit Target'],"Wraith King sears an enemy unit with spectral fire, dealing damage and stunning, then dealing damage over time and slowing the target."
5087,skeleton_king_vampiric_aura,"['Instant Cast', 'No Target', None]",Nearby friendly melee units restore health based on the damage they deal when attacking enemy units.
5088,skeleton_king_mortal_strike,['No Target'],Wraith King passively gains a chance to deal bonus damage on an attack. Every two kills on an enemy unit adds a skeleton charge. Skeletons respawn once when killed. 
5089,skeleton_king_reincarnation,['Passive'],"Wraith King's form regroups after death, allowing him to resurrect when killed in battle.  Upon death, enemy units in a 900 radius will be slowed.

Upgradable by Aghanim's Scepter."
5090,death_prophet_carrion_swarm,"['Unit Target', 'Point Target']",Sends a swarm of winged beasts to savage enemy units in front of Death Prophet.
5091,death_prophet_silence,"['AOE', 'Point Target']",Prevents enemy units in a target area from casting spells.
5092,death_prophet_witchcraft,['Passive'],
5685,death_prophet_spirit_siphon,['Unit Target'],"Creates a spirit link between Death Prophet and an enemy unit, draining 14 + 1,2.5,4,5.5% Max HP per second and steal %movement_slow%% movement speed from the enemy."
5093,death_prophet_exorcism,['No Target'],"Unleashes evil spirits to drain the life of nearby enemy units and structures. At the end of the spell's duration, Death Prophet is healed in proportion to the damage dealt.  Lasts 35 seconds."
5094,sven_storm_bolt,"['Unit Target', 'AOE']",Sven unleashes his magical gauntlet that deals damage and stuns enemy units.
5095,sven_great_cleave,['Passive'],"Sven strikes with great force, cleaving all nearby enemy units with his attack."
5096,sven_warcry,"['No Target', 'Instant Cast']","Sven's Warcry heartens his allied heroes for battle, increasing their movement speed and provides them with an attack damage shield. Buff ends if the shield is consumed. Shield health grows based on Sven's strength."
5097,sven_gods_strength,['No Target'],"Sven channels his rogue strength, granting bonus damage for 25 seconds.

Upgradable by Aghanim's Scepter."
5098,storm_spirit_static_remnant,['No Target'],Creates an explosively charged image of Storm Spirit that lasts 12 seconds and will detonate and deal damage if an enemy unit comes near it.
5099,storm_spirit_electric_vortex,['Unit Target'],"A vortex that pulls an enemy unit to Storm Spirit's location.

Upgradable by Aghanim's Scepter."
5100,storm_spirit_overload,['Passive'],"Casting a spell creates an electrical charge, which is released in a burst on his next attack, dealing damage and slowing nearby enemies."
5101,storm_spirit_ball_lightning,['Point Target'],"Storm Spirit becomes volatile electricity, charging across the battlefield until he depletes his mana or reaches his target. The activation mana cost is 30+8% of his total mana pool, and the cost per 100 units traveled is 12+0.7% of his total mana pool.  Damage is expressed in damage per 100 units traveled."
5102,sandking_burrowstrike,"['Point Target', 'Unit Target']","Sand King burrows into the ground and tunnels forward, damaging and stunning enemy units above him as he resurfaces.

Upgradable by Aghanim's Scepter."
5103,sandking_sand_storm,['No Target'],Sand King creates a fearsome sandstorm that damages enemy units while hiding him from vision.  The effect ends when Sand King leaves the area.
5104,sandking_caustic_finale,['Passive'],"Sand King's attacks inject a venom that causes enemy units to violently explode when its timer expires, or when the unit dies, damaging and slowing nearby enemies. Deals less damage if its timer expires."
5105,sandking_epicenter,"['Channeled', 'No Target']","CHANNELED - After channeling for 2 seconds, Sand King sends a disturbance into the earth, causing it to shudder violently. All enemies caught within range will take damage and become slowed. Each subsequent pulse increases the radius of damage dealt."
5106,tiny_avalanche,"['AOE', 'Point Target']","Bombards an area with rocks, continously doing small intervals of damage and stun to enemy units. Avalanche does 3x damage to units being tossed."
5107,tiny_toss,"['Unit Target', 'AOE', None]","Grabs the nearest unit in a 275 radius around Tiny, ally or enemy, and launches it at the target unit or rune to deal damage where they land.  If the tossed unit is an enemy, it will take an extra 30% damage."
5108,tiny_craggy_exterior,['Unit Target'],"Grabs a tree to whack enemies on the head for a limited number of times. Grants bonus attack range. Attacks deal more damage (increased vs. buildings) and fully splash on units along the way. The tree can be thrown, expending all the charges, to deal your attack to a unit at a distance."
6937,tiny_toss_tree,"['Unit Target', 'Point Target', 'Hidden', None]","Consume the remaining Tree Grab charges and throws the tree at the target unit, proccing your attack on it and splashing damage around the target."
5109,tiny_grow,['Passive'],"Tiny gains craggy mass, increases his power and causes him to shrug off debuffs."
5110,zuus_arc_lightning,['Unit Target'],Hurls a bolt of lightning that leaps through nearby enemy units.
5111,zuus_lightning_bolt,"['Unit Target', 'Point Target']","Calls down a bolt of lightning to strike an enemy unit, causing damage and a mini-stun. When cast, Lightning Bolt briefly provides unobstructed vision and True Sight around the target in a 750 radius. Can be cast on the ground, affecting the closest enemy hero in 325 range."
6325,zuus_cloud,"['Point Target', 'AOE', 'Hidden', None]",Creates a storm cloud anywhere on the map that automatically casts Lightning Bolt on nearby enemies.
5112,zuus_static_field,['Passive'],"Zeus shocks any enemy hit by his abilities, causing damage proportional to their current health."
5113,zuus_thundergods_wrath,['No Target'],"Strikes all enemy heroes with a bolt of lightning, no matter where they may be.  Thundergod's Wrath also provides True Sight around each hero struck.  If an enemy hero is invisible, it takes no damage, but the True Sight is still created at that hero's location."
5114,slardar_sprint,"['No Target', 'Instant Cast', None]","Slardar slithers ahead, moving significantly faster and passing through units.  At ability level 4, Slardar may move at 700 speed while in the river."
5115,slardar_slithereen_crush,['No Target'],"Slams the ground, stunning and damaging nearby enemy land units.  After the stun, the affected units are slowed."
5116,slardar_bash,['Passive'],"After 3 attacks, your next attack will bash the target."
5117,slardar_amplify_damage,['Unit Target'],"Reduces enemy armor to amplify physical damage and provides True Sight of the targeted unit, revealing invisibility."
5118,tidehunter_gush,['Unit Target'],"Summons a gush of water to damage an enemy unit, reducing their movement speed and armor.  Lasts 4 seconds.

Upgradable by Aghanim's Scepter."
5119,tidehunter_kraken_shell,['Passive'],"Thickens Tidehunter's hide to passively block a portion of any incoming physical attack damage. The hide also removes negative status effects if the damage taken crosses a threshold.

Does not stack with items that provide Damage Block.

DISPEL TYPE: Strong Dispel"
5120,tidehunter_anchor_smash,['No Target'],Tidehunter swings his mighty anchor to attack and deal bonus damage to nearby enemies and reduce their attack damage.
5121,tidehunter_ravage,['No Target'],"Slams the ground, causing tentacles to erupt in all directions, damaging and stunning all nearby enemy units."
5122,vengefulspirit_magic_missile,['Unit Target'],"Fires a magic missile at an enemy unit, stunning and dealing damage."
5123,vengefulspirit_command_aura,"['Passive', None]",Vengeful Spirit's presence increases the physical damage of nearby friendly units. Spawns a Vengeance Illusion when you die that lasts until you revive.
5124,vengefulspirit_wave_of_terror,['Point Target'],"Vengeful Spirit lets loose a wicked cry, weakening the armor of enemies and giving vision of the path ahead."
5125,vengefulspirit_nether_swap,['Unit Target'],"Instantaneously swaps positions with a target Hero, friend or enemy.  Nether Swap interrupts channeling abilities on the target.

Upgradable by Aghanim's Scepter."
5126,crystal_maiden_crystal_nova,"['Point Target', 'AOE']",A burst of damaging frost slows enemy movement and attack rate in the targeted area.
5127,crystal_maiden_frostbite,['Unit Target'],"Encases an enemy unit in ice, prohibiting movement and attack, while dealing damage over time. Lasts 10 seconds on creeps level 6 or lower."
5128,crystal_maiden_brilliance_aura,['Passive'],Gives additional mana regeneration to all friendly units on the map. This bonus is increased for Crystal Maiden.
5129,crystal_maiden_freezing_field,"['No Target', 'Channeled']","CHANNELED - Surrounds Crystal Maiden with random icy explosions that slow enemies and deal massive damage. Grants bonus armor while channeling. Lasts 10 seconds.

Upgradable by Aghanim's Scepter."
5130,windrunner_shackleshot,['Unit Target'],"Shackles the target to an enemy unit or tree in a line directly behind it.  If no unit or tree is present, the stun duration is reduced to 0.75."
5131,windrunner_powershot,"['Point Target', 'Channeled']","Windranger charges her bow for up to 1 second for a single powerful shot, which deals more damage the longer it is charged. The arrow damages enemies and destroys trees along its path. For each enemy that Powershot hits, its damage is reduced by 20%."
5132,windrunner_windrun,"['No Target', 'Instant Cast']","Increases movement speed and adds evasion from all physical attacks, while slowing movement of nearby enemies."
5133,windrunner_focusfire,['Unit Target'],"Windranger channels the wind to gain 425 additional attack speed against a single enemy unit or structure, though with a reduction to her attack damage.  Extra damage from secondary item effects is not reduced.  Lasts 20 seconds.

Upgradable by Aghanim's Scepter."
5134,lich_frost_nova,"['Unit Target', 'AOE']","Blasts the target enemy unit with damaging frost, dealing area damage and slowing movement and attack rates for 4 seconds.  The primary target takes the most damage."
7311,lich_dark_sorcery,"['No Target', 'Instant Cast']","Grants you bonus attack speed for a limited number of attacks, draining a percentage of mana for each hit. Costs a percentage of current health to cast. Lasts up to 15 seconds or when the attack count is consumed."
7325,lich_sinister_gaze,"['Unit Target', 'Channeled', None]","CHANNELED - Hypnotizes an enemy unit, causing it to move towards a point between the two of you."
7312,lich_frost_aura,"['Passive', None]",Allied Aura. Causes all nearby ally attacks to slow enemy movement speed.
5135,lich_frost_armor,"['Unit Target', 'Autocast']","Creates a shield around the target friendly unit or building, which adds armor and slows attacking units. Lasts 40 seconds."
5136,lich_frost_shield,['Unit Target'],"Applies a magical frost shield around you, reducing damage from attacks against you. While the shield is active, ice magic will be affect nearby enemy units every 1 seconds, doing minor damage and slowing."
5137,lich_chain_frost,['Unit Target'],"Releases an orb of frost that bounces between nearby enemy units up to 10,10,10 times, slowing and damaging each time it hits. 

Upgradable by Aghanim's Scepter."
5138,witch_doctor_paralyzing_cask,['Unit Target'],"Launches a cask of paralyzing powder that ricochets between enemy units, stunning and damaging those it hits."
5139,witch_doctor_voodoo_restoration,"['No Target', None]",Witch Doctor focuses his magic to heal nearby allied units.
5140,witch_doctor_maledict,"['AOE', 'Point Target']","Curses all enemy Heroes in a small area, causing them to take a set amount of damage each second, as well as bursts of damage every 4 seconds based on how much health they have lost since the curse began."
5141,witch_doctor_death_ward,"['Point Target', 'Channeled']","CHANNELED - Summons a deadly ward to attack enemy heroes within 700 range. Lasts a maximum of 8 seconds.

Upgradable by Aghanim's Scepter."
5142,riki_smoke_screen,"['AOE', 'Point Target']","Throws down a smoke bomb, silencing enemies, and causing them to miss most attacks, as well as slowing movement."
5143,riki_blink_strike,['Unit Target'],"Teleports behind the target unit, striking for bonus damage if it is an enemy."
5144,riki_permanent_invisibility,['Passive'],"Riki fades into the shadows, becoming invisible. Every time Riki strikes his enemy from behind, he deals bonus damage based on his Agility. When Riki attacks, he becomes visible."
5145,riki_tricks_of_the_trade,"['No Target', 'Channeled']","CHANNELED - Riki phases out of the world while striking random enemy heroes from behind in an area around him.

Upgradable by Aghanim's Scepter."
5146,enigma_malefice,['Unit Target'],"Focuses Enigma's power on a target, causing it to take damage and become repeatedly stunned for multiple instances.  An instance strikes every 2 seconds."
5147,enigma_demonic_conversion,['Unit Target'],"Transforms a creep into three fragments of Enigma himself.  These eidolons are all under Enigma's control, and repeated successful attacks cause them to multiply.  When this happens, the eidolons have their health restored."
5148,enigma_midnight_pulse,"['AOE', 'Point Target']","Steeps an area in dark resonance, damaging enemy units based on their max HP."
5149,enigma_black_hole,"['AOE', 'Point Target', 'Channeled']","CHANNELED - Summons a vortex that sucks in nearby enemy units.  Enemies affected by Black Hole cannot move, attack, or cast spells.

Upgradable by Aghanim's Scepter."
5150,tinker_laser,['Unit Target'],"Fires an intense energy beam, dealing damage and blinding the target, causing it to miss all physical attacks. 

Upgradable by Aghanim's Scepter."
5151,tinker_heat_seeking_missile,['No Target'],"Launches a pair of rockets at the nearest visible enemy heroes within 2500 range. 

Upgradable by Aghanim's Scepter."
5152,tinker_march_of_the_machines,"['AOE', 'Point Target']",Enlists an army of robotic minions to destroy enemy units in an area around Tinker.
5153,tinker_rearm,"['No Target', 'Channeled']",CHANNELED - Resets the cooldown on most of Tinker's items and abilities.
5154,sniper_shrapnel,"['AOE', 'Point Target']",Consumes a charge to launch a ball of shrapnel that showers the target area in explosive pellets. Enemies are subject to damage and slowed movement. Reveals the targeted area. Shrapnel charges restore every 50 seconds.
5155,sniper_headshot,['Passive'],"Sniper increases his accuracy, giving him a chance to deal extra damage and briefly stop the movements of his enemies."
5156,sniper_take_aim,"['No Target', 'Instant Cast']",Extends the attack range of Sniper's rifle. Can be activated to double the attack range bonus for 1 attack.
5157,sniper_assassinate,"['Unit Target', None]","Sniper locks onto a target enemy unit and, after a short aiming duration, fires a devastating shot that deals damage at long range and mini-stuns the target.

Upgradable by Aghanim's Scepter."
5158,necrolyte_death_pulse,['No Target'],"Necrophos releases a wave of death around him, dealing damage to enemy units and healing allied units."
5159,necrolyte_heartstopper_aura,"['Passive', None]","Necrophos stills the hearts of his opponents, causing nearby enemy units to lose a percentage of their max health over time. Passively provides regen for 7 seconds for each unit Necrophos kills."
5160,necrolyte_sadist,"['No Target', 'Instant Cast']","Necrophos slips into the realm that separates the living from the dead. Unable to attack or be attacked, he emits an aura that slows enemies around him. He takes additional magic damage in this form, but his restorative powers are amplified."
6316,necrolyte_sadist_stop,"['No Target', 'Hidden', 'Instant Cast']",
5161,necrolyte_reapers_scythe,['Unit Target'],"Stuns the target enemy hero, then deals damage based on how much life it is missing. Heroes killed by Reaper's Scythe will have 15,30,45 seconds added to their respawn timer. Any kill under this effect is credited to Necrophos.

Upgradable by Aghanim's Scepter."
5162,warlock_fatal_bonds,['Unit Target'],"Binds several enemy units together, causing a percentage of the damage dealt to one of them to be felt by the others."
5163,warlock_shadow_word,['Unit Target'],"Warlock whispers an incantation, healing a friendly unit or damaging an enemy unit over time."
5164,warlock_upheaval,"['Point Target', 'Channeled', 'AOE']",CHANNELED - A powerful slowing current that grows stronger as it's channelled. Lasts up to 16 seconds.  Enemies are slowed for 3 seconds after leaving the area or the spell ends.
5165,warlock_rain_of_chaos,"['Point Target', 'AOE']","Summons a Golem from the depths, stunning enemies for one second. The Golem lives 60 seconds, takes reduced damage from spells, has Permanent Immolation and Flaming Fists on attack.

Upgradable by Aghanim's Scepter."
5166,warlock_golem_flaming_fists,['Passive'],Deals extra damage to nearby units when attacking.
5167,warlock_golem_permanent_immolation,['Passive'],"Burns the Golem's nearby enemy units, with damage per second."
